GENSIZE: 5 | NUMCLIMBS: 1 | Average Score: 608.6
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 1 | Average Score: 608.6

GENSIZE: 5 | NUMCLIMBS: 2 | Average Score: 614.7
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 2 | Average Score: 614.7

GENSIZE: 5 | NUMCLIMBS: 3 | Average Score: 607.3
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 2 | Average Score: 614.7

GENSIZE: 5 | NUMCLIMBS: 4 | Average Score: 593
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 2 | Average Score: 614.7

GENSIZE: 5 | NUMCLIMBS: 5 | Average Score: 623.7
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 5 | Average Score: 623.7

GENSIZE: 5 | NUMCLIMBS: 6 | Average Score: 611.4
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 5 | Average Score: 623.7

GENSIZE: 5 | NUMCLIMBS: 7 | Average Score: 603.2
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 5 | Average Score: 623.7

GENSIZE: 5 | NUMCLIMBS: 8 | Average Score: 600.8
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 5 | Average Score: 623.7

GENSIZE: 5 | NUMCLIMBS: 9 | Average Score: 619
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 5 | Average Score: 623.7

GENSIZE: 5 | NUMCLIMBS: 10 | Average Score: 612.3
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 5 | Average Score: 623.7

GENSIZE: 5 | NUMCLIMBS: 11 | Average Score: 612.8
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 5 | Average Score: 623.7

GENSIZE: 5 | NUMCLIMBS: 12 | Average Score: 625.7
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 12 | Average Score: 625.7

GENSIZE: 5 | NUMCLIMBS: 13 | Average Score: 619.1
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 12 | Average Score: 625.7

GENSIZE: 5 | NUMCLIMBS: 14 | Average Score: 602.3
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 12 | Average Score: 625.7

GENSIZE: 6 | NUMCLIMBS: 1 | Average Score: 622.2
---- Current Best:GENSIZE: 5 | NUMCLIMBS: 12 | Average Score: 625.7

GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 6 | NUMCLIMBS: 3 | Average Score: 625
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 6 | NUMCLIMBS: 4 | Average Score: 604.1
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 6 | NUMCLIMBS: 5 | Average Score: 612.5
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 6 | NUMCLIMBS: 6 | Average Score: 606.5
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 6 | NUMCLIMBS: 7 | Average Score: 618.6
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 6 | NUMCLIMBS: 8 | Average Score: 608.6
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 6 | NUMCLIMBS: 9 | Average Score: 610.9
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 6 | NUMCLIMBS: 10 | Average Score: 608.8
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 6 | NUMCLIMBS: 11 | Average Score: 618.7
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 6 | NUMCLIMBS: 12 | Average Score: 610.5
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 6 | NUMCLIMBS: 13 | Average Score: 606
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 6 | NUMCLIMBS: 14 | Average Score: 610.1
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 7 | NUMCLIMBS: 1 | Average Score: 607.9
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 7 | NUMCLIMBS: 2 | Average Score: 602.3
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 7 | NUMCLIMBS: 3 | Average Score: 618.9
---- Current Best:GENSIZE: 6 | NUMCLIMBS: 2 | Average Score: 627.8

GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 7 | NUMCLIMBS: 5 | Average Score: 612.4
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 7 | NUMCLIMBS: 6 | Average Score: 600.9
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 7 | NUMCLIMBS: 7 | Average Score: 623.2
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 7 | NUMCLIMBS: 8 | Average Score: 621
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 7 | NUMCLIMBS: 9 | Average Score: 608.1
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 7 | NUMCLIMBS: 10 | Average Score: 616.1
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 7 | NUMCLIMBS: 11 | Average Score: 606.7
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 7 | NUMCLIMBS: 12 | Average Score: 618.2
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 7 | NUMCLIMBS: 13 | Average Score: 619
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 7 | NUMCLIMBS: 14 | Average Score: 621.6
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 1 | Average Score: 626.4
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 2 | Average Score: 618.8
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 3 | Average Score: 624.9
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 4 | Average Score: 626.6
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 5 | Average Score: 610
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 6 | Average Score: 600.9
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 7 | Average Score: 599.8
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 8 | Average Score: 617.8
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 9 | Average Score: 624.8
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 10 | Average Score: 621.8
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 11 | Average Score: 616.4
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 12 | Average Score: 595.5
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 13 | Average Score: 612.8
---- Current Best:GENSIZE: 7 | NUMCLIMBS: 4 | Average Score: 628.3

GENSIZE: 8 | NUMCLIMBS: 14 | Average Score: 630.1
---- Current Best:GENSIZE: 8 | NUMCLIMBS: 14 | Average Score: 630.1

GENSIZE: 9 | NUMCLIMBS: 1 | Average Score: 606.1
---- Current Best:GENSIZE: 8 | NUMCLIMBS: 14 | Average Score: 630.1

GENSIZE: 9 | NUMCLIMBS: 2 | Average Score: 605.6
---- Current Best:GENSIZE: 8 | NUMCLIMBS: 14 | Average Score: 630.1

GENSIZE: 9 | NUMCLIMBS: 3 | Average Score: 619.9
---- Current Best:GENSIZE: 8 | NUMCLIMBS: 14 | Average Score: 630.1

GENSIZE: 9 | NUMCLIMBS: 4 | Average Score: 615.6
---- Current Best:GENSIZE: 8 | NUMCLIMBS: 14 | Average Score: 630.1

GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 9 | NUMCLIMBS: 6 | Average Score: 615
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 9 | NUMCLIMBS: 7 | Average Score: 629.2
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 9 | NUMCLIMBS: 8 | Average Score: 607.1
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 9 | NUMCLIMBS: 9 | Average Score: 602
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 9 | NUMCLIMBS: 10 | Average Score: 615.2
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 9 | NUMCLIMBS: 11 | Average Score: 610.4
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 9 | NUMCLIMBS: 12 | Average Score: 613.4
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 9 | NUMCLIMBS: 13 | Average Score: 612.4
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 9 | NUMCLIMBS: 14 | Average Score: 612.8
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 10 | NUMCLIMBS: 1 | Average Score: 574.7
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 10 | NUMCLIMBS: 2 | Average Score: 612.8
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 10 | NUMCLIMBS: 3 | Average Score: 606.7
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 10 | NUMCLIMBS: 4 | Average Score: 607.5
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 10 | NUMCLIMBS: 5 | Average Score: 632.9
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 10 | NUMCLIMBS: 6 | Average Score: 605.9
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 10 | NUMCLIMBS: 7 | Average Score: 619
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 10 | NUMCLIMBS: 8 | Average Score: 632.8
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 10 | NUMCLIMBS: 9 | Average Score: 606.6
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 10 | NUMCLIMBS: 10 | Average Score: 604.9
---- Current Best:GENSIZE: 9 | NUMCLIMBS: 5 | Average Score: 641.9

GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 10 | NUMCLIMBS: 12 | Average Score: 619.7
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 10 | NUMCLIMBS: 13 | Average Score: 626.5
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 10 | NUMCLIMBS: 14 | Average Score: 589.8
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 1 | Average Score: 613.4
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 2 | Average Score: 618.3
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 3 | Average Score: 621.4
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 4 | Average Score: 630.1
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 5 | Average Score: 608.5
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 6 | Average Score: 614.3
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 7 | Average Score: 613.6
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 8 | Average Score: 633.1
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 9 | Average Score: 600.3
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 10 | Average Score: 608.2
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 11 | Average Score: 613.8
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 12 | Average Score: 602.9
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 13 | Average Score: 626
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 11 | NUMCLIMBS: 14 | Average Score: 603.5
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 12 | NUMCLIMBS: 1 | Average Score: 602.8
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 12 | NUMCLIMBS: 2 | Average Score: 618.8
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 12 | NUMCLIMBS: 3 | Average Score: 601.1
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 12 | NUMCLIMBS: 4 | Average Score: 619.2
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 12 | NUMCLIMBS: 5 | Average Score: 609.8
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 12 | NUMCLIMBS: 6 | Average Score: 620.5
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 12 | NUMCLIMBS: 7 | Average Score: 614.1
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 12 | NUMCLIMBS: 8 | Average Score: 618.6
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 12 | NUMCLIMBS: 9 | Average Score: 620.4
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 12 | NUMCLIMBS: 10 | Average Score: 599.4
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 12 | NUMCLIMBS: 11 | Average Score: 605.5
---- Current Best:GENSIZE: 10 | NUMCLIMBS: 11 | Average Score: 645.7

GENSIZE: 12 | NUMCLIMBS: 12 | Average Score: 628.2
